FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,ARR_DELAY,DISTANCE
2021-01-01,DL,SEA,MCO,161,6,0,1615
2021-01-01,NK,SFO,MCO,232,27,22,2477
2021-01-01,AA,DFW,SEA,137,-32,-22,1905
2021-01-01,DL,SEA,JFK,1704,31,33,515
2021-01-01,F9,ATL,SEA,247,10,-10,387
2021-01-01,DL,PHX,LAS,2062,7,-10,1918
2021-01-01,AA,MIA,LAS,1024,20,32,1836
2021-01-01,NK,MCO,LAX,572,8,0,1117
2021-01-01,B6,DFW,SEA,871,21,35,1687
2021-01-01,WN,SEA,ORD,1270,26,25,1552
2021-01-01,AA,PHX,MCO,69,2,4,2311
2021-01-01,AA,JFK,LAX,1620,20,8,201
2021-01-01,UA,MIA,DEN,2173,54,48,2116
2021-01-01,DL,PHX,PHX,2263,-7,-19,2630
2021-01-01,AS,DEN,CLT,1090,25,39,1837
2021-01-01,B6,MIA,JFK,786,-15,1,2041
2021-01-01,AS,DFW,CLT,1177,43,51,2496
2021-01-01,UA,LAX,ATL,233,-2,-1,279
2021-01-01,B6,MCO,LAS,1399,2,18,589
2021-01-01,DL,SEA,MIA,1438,-18,-19,2095
2021-01-01,AS,JFK,SEA,119,58,52,1782
2021-01-01,NK,PHX,SFO,1350,9,25,1344
2021-01-01,DL,JFK,DFW,192,17,34,2991
2021-01-01,DL,JFK,CLT,459,28,37,512
2021-01-01,WN,DFW,SFO,2104,-18,-2,2746
2021-01-01,B6,CLT,SEA,475,-29,-27,482
2021-01-01,B6,ATL,MIA,47,10,14,704
2021-01-01,UA,MCO,DEN,128,8,11,1338
2021-01-01,NK,CLT,DEN,2141,0,-14,1428
2021-01-01,AA,CLT,ATL,1893,-40,-30,2774
2021-01-01,DL,DEN,LAS,2064,26,26,1877
2021-01-01,DL,LAS,SEA,428,-30,-19,1478
2021-01-01,AS,PHX,JFK,765,19,12,1922
2021-01-01,UA,LAS,LAX,990,75,62,2770
2021-01-01,B6,MCO,CLT,179,-7,-3,2537
2021-01-01,WN,DFW,LAS,1404,-41,-30,2768
2021-01-01,B6,LAX,DFW,900,1,21,2393
2021-01-01,WN,ATL,SFO,538,-15,-23,1343
2021-01-01,WN,CLT,PHX,1706,0,-6,2560
2021-01-01,B6,CLT,PHX,1251,16,15,1938
2021-01-01,AS,SEA,SFO,619,-19,-17,675
2021-01-01,DL,SFO,SFO,1704,9,1,1045
2021-01-01,WN,MIA,MIA,322,-29,-29,970
2021-01-01,AS,MIA,ORD,1749,-4,10,1315
2021-01-01,UA,SEA,SFO,2195,4,12,2742
2021-01-01,UA,ORD,DEN,1431,-3,-19,2590
2021-01-01,WN,ORD,PHX,2125,-34,-30,2963
2021-01-01,DL,MCO,PHX,260,29,22,2429
2021-01-01,WN,CLT,SFO,153,5,13,1627
2021-01-01,UA,PHX,MIA,559,29,20,2876
2021-01-01,F9,SEA,DFW,287,29,29,1514
2021-01-01,UA,CLT,PHX,747,11,12,1179
2021-01-01,B6,LAX,CLT,1852,2,12,2124
2021-01-01,F9,ATL,SEA,1059,-17,3,738
2021-01-01,DL,ATL,DFW,238,21,20,254
